cd,cm
0.006313313730061054,-0.05573505163192749
0.005526973400264978,0.06183788925409317
0.00552970077842474,0.06063827499747276
0.005335833411663771,0.09893398731946945
0.005649330094456673,0.045044973492622375
0.005528247449547052,0.06178555265069008
0.0055263047106564045,0.06268861889839172
0.0056477682664990425,0.04522238299250603
0.005526832304894924,0.06265649944543839
0.005639833398163319,0.051660094410181046
0.00563221937045455,0.051677122712135315
0.004645681940019131,0.20267869532108307
0.005566490348428488,0.05374789610505104
0.005508934147655964,0.06401923298835754
0.0055330609902739525,0.059836775064468384
0.0055103786289691925,0.06306102126836777
0.005607246421277523,0.051846396178007126
0.005524518899619579,0.06269537657499313
0.005578012205660343,0.05245691165328026
0.005528339184820652,0.06166977435350418
0.005641383118927479,0.05059986189007759
0.00444825878366828,0.238925039768219
0.0056528071872889996,0.04209451749920845
