6,4,2,2
0.000000,0.600000,0.000000,0.400000
30,39,3
0.000000,0.200000,0.000000
0.000000,0.300000,0.504847
0.000000,0.400000,1.000000
0.100000,0.200000,0.000000
0.100000,0.300000,0.509695
0.100000,0.400000,1.000000
0.200000,0.000000,0.000000
0.200000,0.100000,0.000000
0.200000,0.200000,0.000000
0.200000,0.300000,0.533932
0.200000,0.400000,1.000000
0.300000,0.000000,0.000000
0.300000,0.100000,0.116937
0.300000,0.200000,0.285616
0.300000,0.300000,0.626032
0.300000,0.400000,1.000000
0.400000,0.000000,0.000000
0.400000,0.100000,0.182132
0.400000,0.200000,0.399494
0.400000,0.300000,0.684580
0.400000,0.400000,1.000000
0.500000,0.000000,0.000000
0.500000,0.100000,0.212095
0.500000,0.200000,0.445649
0.500000,0.300000,0.712795
0.500000,0.400000,1.000000
0.600000,0.000000,0.000000
0.600000,0.100000,0.220601
0.600000,0.200000,0.458213
0.600000,0.300000,0.720951
0.600000,0.400000,1.000000
0,3,1,5.048474,-0.000000
4,1,3,5.096948,-0.048474
1,4,2,4.951526,-0.048474
5,2,4,4.903052,-0.000000
3,8,4,5.096948,-0.000000
9,4,8,5.339317,-0.242369
4,9,5,4.903052,-0.242369
10,5,9,4.660683,-0.000000
6,11,7,0.000000,-0.000000
12,7,11,1.169369,-1.169369
7,12,8,0.000000,-1.169369
13,8,12,1.686789,-2.856158
8,13,9,5.339317,-2.856158
14,9,13,3.404162,-0.921003
9,14,10,4.660683,-0.921003
15,10,14,3.739681,-0.000000
11,16,12,1.169369,-0.000000
17,12,16,1.821316,-0.651948
12,17,13,1.686789,-0.651948
18,13,17,2.173626,-1.138785
13,18,14,3.404162,-1.138785
19,14,18,2.850861,-0.585484
14,19,15,3.739681,-0.585484
20,15,19,3.154197,-0.000000
16,21,17,1.821316,-0.000000
22,17,21,2.120955,-0.299638
17,22,18,2.173626,-0.299638
23,18,22,2.335539,-0.461551
18,23,19,2.850861,-0.461551
24,19,23,2.671457,-0.282148
19,24,20,3.154197,-0.282148
25,20,24,2.872049,-0.000000
21,26,22,2.120955,-0.000000
27,22,26,2.206009,-0.085054
22,27,23,2.335539,-0.085054
28,23,27,2.376117,-0.125632
23,28,24,2.671457,-0.125632
29,24,28,2.627381,-0.081556
24,29,25,2.872049,-0.081556
30,25,29,2.790493,-0.000000
