x,Cpi,Cpv,Qi,Qv,y
0.0462506,0.48,0.428,0,-0.756,-0.0256642
0.0520135,0.449,0.399,0,-0.775,-0.0264217
0.0580885,0.423,0.374,0,-0.791,-0.0270898
0.0644712,0.399,0.352,0,-0.805,-0.0276705
0.0711569,0.379,0.333,0,-0.816,-0.028166
0.0781412,0.362,0.317,0,-0.826,-0.0285786
0.0854193,0.346,0.303,0,-0.835,-0.0289106
0.0929867,0.333,0.292,0,-0.842,-0.0291645
0.1008386,0.322,0.281,0,-0.848,-0.029343
0.1089702,0.312,0.273,0,-0.853,-0.0294487
0.1173767,0.304,0.266,0,-0.857,-0.0294844
0.1260533,0.297,0.259,0,-0.861,-0.0294531
0.1349949,0.291,0.254,0,-0.864,-0.0293579
0.1441967,0.286,0.25,0,-0.866,-0.0292018
0.1536536,0.281,0.247,0,-0.868,-0.0289882
0.1633605,0.278,0.244,0,-0.87,-0.0287204
0.1733122,0.275,0.242,0,-0.871,-0.0284019
0.1835034,0.273,0.24,0,-0.872,-0.0280364
0.193929,0.271,0.239,0,-0.872,-0.0276275
0.2045835,0.269,0.238,0,-0.873,-0.0271791
0.2154615,0.268,0.237,0,-0.873,-0.0266949
0.2265575,0.267,0.237,0,-0.874,-0.026179
0.237866,0.267,0.237,0,-0.874,-0.0256354
0.2493812,0.266,0.237,0,-0.874,-0.0250682
0.2610975,0.266,0.237,0,-0.874,-0.0244816
0.273009,0.266,0.237,0,-0.873,-0.0238799
0.2851099,0.266,0.237,0,-0.873,-0.0232672
0.2973941,0.265,0.237,0,-0.873,-0.0226479
0.3098556,0.265,0.237,0,-0.873,-0.0220264
0.3224882,0.265,0.237,0,-0.874,-0.0214069
0.3352856,0.264,0.236,0,-0.874,-0.0207938
0.3482415,0.263,0.236,0,-0.874,-0.0201913
0.3613493,0.262,0.234,0,-0.875,-0.0196039
0.3746025,0.259,0.233,0,-0.876,-0.0190357
0.3879944,0.257,0.23,0,-0.878,-0.018491
0.4015181,0.25,0.225,0,-0.88,-0.0179735
0.4151667,0.245,0.221,0,-0.883,-0.0174562
0.4289331,0.242,0.218,0,-0.884,-0.0169218
0.44281,0.24,0.215,0,-0.886,-0.0163728
