ELEMENT,Surface,Cpv
293,P,-15.66203904
294,P,-22.95668736
295,P,-24.78034944
296,P,-24.78034944
297,P,-12.98018304
298,P,-18.88026624
299,P,-20.06028288
300,P,-35.1323136
301,P,-14.26747392
302,P,-22.95668736
303,P,-16.25204736
304,P,-12.71199744
305,P,-12.8729088
306,P,-12.8729088
307,P,-24.78034944
308,P,-32.02136064
309,P,-38.6187264
310,P,-32.02136064
311,P,-38.6187264
312,P,-38.6187264
313,P,-13.24836864
314,P,-15.66203904
315,P,-21.40121088
316,P,-14.64293376
317,P,-13.89201408
318,P,-13.62382848
319,P,-32.02136064
320,P,-29.28586752
321,P,-24.78034944
322,P,-18.88026624
323,P,-21.40121088
324,P,-38.6187264
325,P,-35.1323136
326,P,-38.6187264
327,P,-14.64293376
328,P,-15.66203904
329,P,-15.66203904
330,P,-16.25204736
331,P,-15.07203072
332,P,-14.64293376
333,P,-15.66203904
334,P,-15.07203072
335,P,-13.40928
336,P,-26.87219712
337,P,-20.06028288
338,P,-38.6187264
339,P,-12.8729088
340,P,-12.8729088
341,P,-12.81927168
342,P,-15.66203904
343,P,-16.25204736
344,P,-15.07203072
345,P,-13.24836864
346,P,-32.02136064
347,P,-42.31968768
348,P,-35.1323136
349,P,-20.06028288
350,P,-16.25204736
351,P,-21.40121088
352,P,-22.95668736
353,P,-22.95668736
354,P,-29.28586752
355,P,-29.28586752
356,P,-46.23519744
357,P,-29.28586752
358,P,-32.02136064
359,P,-13.89201408
360,P,-13.89201408
361,P,-29.28586752
362,P,-18.88026624
363,P,-12.98018304
364,P,-13.08745728
365,P,-29.28586752
366,P,-13.24836864
367,P,-21.40121088
368,P,-12.71199744
369,P,-13.89201408
370,P,-18.88026624
371,P,-20.06028288
372,P,-17.00296704
373,P,-16.25204736
374,P,-13.40928
375,P,-13.89201408
376,P,-17.86116096
377,P,-16.25204736
378,P,-17.00296704
379,P,-15.66203904
380,P,-17.86116096
381,P,-16.25204736
382,P,-17.00296704
383,P,-15.66203904
384,P,-15.07203072
385,P,-24.78034944
386,P,-13.62382848
387,P,-12.98018304
388,P,-16.25204736
389,P,-16.25204736
390,P,-15.07203072
391,P,-17.86116096
392,P,-38.6187264
393,P,-35.1323136
394,P,-26.87219712
395,P,-29.28586752
396,P,-24.78034944
397,P,-18.88026624
398,P,-12.71199744
399,P,-24.78034944
400,P,-24.78034944
