X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
-10.56064,-1.46512,-0.67454,0.64204,8.70912,8.71852,9.22312,0.2611,0.41868,0.53428,0.07952,-0.16478,0.75587,3.65601
-12.27959,-1.46388,-0.67454,0.66623,5.69984,7.27906,9.85742,0.23521,0.41937,0.55183,0.09843,-0.15992,0.75588,3.65601
-11.44563,-1.46388,-8.5495,0.60099,8.6811,8.71902,9.83183,0.24737,0.35089,0.53463,0.10603,-0.16119,0.75587,3.64599
-10.55511,-1.46512,-0.67454,0.64204,8.6811,8.71852,9.22071,0.2611,0.41868,0.53428,0.07952,-0.15998,0.75587,3.65601
-12.28512,-1.46384,-0.08887,0.60065,7.86279,8.71912,8.82379,0.23386,0.5267,0.53852,0.10939,-0.36126,0.75588,3.64009
-11.99821,-1.47508,-0.08887,0.60109,7.86279,8.71918,8.82379,0.23332,0.5267,0.53852,0.10939,-0.35863,0.75588,3.64009
-11.44563,-1.56871,-8.64366,0.60004,8.6811,8.71902,9.83162,0.24737,0.35089,0.39622,0.10603,-0.16119,0.67538,3.64599
-11.99821,-1.46539,-0.08887,0.60109,7.86488,8.71918,8.82379,0.23332,0.5267,0.38316,0.11908,-0.35864,0.75588,3.63948
-10.52347,-1.46508,-2.98083,4.16255,7.79077,8.7915,8.82509,-0.27799,0.54896,0.56384,-0.51917,-0.359,0.75588,3.63207
